Date,Australian_Equities,Australian_Property,Global_Equities_$A,Global_Equities_LCL,Aust._Bonds,Global_Property_Hdg,Cash,Global_Bonds,Alts
1/01/2000,-1.76,-2.41,-3.31,-4.63,-0.23,-1.44,0.50,-0.25,-0.10
1/02/2000,1.60,6.52,4.14,1.30,2.05,-1.82,0.43,0.91,6.49
1/03/2000,0.53,0.00,8.25,6.03,1.18,4.79,0.47,1.32,-2.12
1/04/2000,-0.52,1.91,-0.40,-2.31,0.37,5.17,0.43,0.03,-4.63
1/05/2000,-0.98,1.28,-0.31,-2.44,1.26,1.45,0.56,0.23,-1.17
1/06/2000,8.01,2.40,-1.92,2.03,1.13,4.21,0.52,1.16,3.66
1/07/2000,-1.81,2.47,0.81,-1.45,0.03,9.27,0.51,0.74,0.11
1/08/2000,1.66,-0.26,3.48,4.16,0.24,-0.89,0.52,2.44,3.39
1/09/2000,0.73,-0.27,1.00,-5.10,0.91,1.62,0.51,0.81,-0.41
1/10/2000,-1.19,-0.56,2.81,-0.43,0.74,-3.19,0.58,0.74,-1.09
1/11/2000,1.21,2.21,-7.54,-6.31,1.96,2.96,0.53,1.63,-1.55
1/12/2000,-1.97,5.16,-3.89,-0.35,1.82,5.87,0.50,1.34,2.66
1/01/2001,4.24,-1.70,3.10,2.59,1.53,1.53,0.57,1.35,0.94
1/02/2001,-0.16,1.10,-4.15,-7.95,0.67,-0.07,0.47,0.92,-0.59
1/03/2001,-4.80,-1.37,0.34,-4.76,0.58,-0.98,0.47,0.70,-0.34
1/04/2001,5.85,0.57,2.59,7.02,-0.95,1.34,0.45,-0.43,0.69
1/05/2001,1.65,1.48,-0.58,-0.68,-0.38,2.37,0.40,0.63,0.83
1/06/2001,3.79,4.53,-3.46,-2.59,0.05,3.98,0.39,0.57,0.58
1/07/2001,-4.74,0.79,-1.12,-2.07,0.43,-1.65,0.44,1.57,-0.02
1/08/2001,-1.08,3.45,-8.28,-6.24,2.66,2.97,0.44,1.01,0.92
1/09/2001,-6.44,-0.28,-2.76,-8.91,1.11,-4.96,0.40,0.94,-0.83
1/10/2001,6.74,3.61,-0.43,2.49,1.66,-1.27,0.40,1.93,0.44
1/11/2001,3.23,-0.28,2.72,6.30,-1.07,3.86,0.36,-0.65,0.54
1/12/2001,2.66,2.03,2.22,1.09,-0.88,1.96,0.36,-0.51,1.19
1/01/2002,1.23,-1.41,-2.10,-1.98,0.05,0.85,0.36,0.67,0.54
1/02/2002,-1.17,0.36,-2.72,-0.97,0.58,2.37,0.33,0.72,-0.56
1/03/2002,0.65,1.09,0.99,4.09,-0.91,4.70,0.31,-0.82,0.74
1/04/2002,-1.79,1.59,-4.02,-4.59,1.49,2.05,0.41,1.55,0.79
1/05/2002,0.85,2.97,-5.08,-1.06,-0.27,1.96,0.37,0.67,0.67
1/06/2002,-4.18,0.14,-5.32,-7.77,1.24,-0.04,0.36,1.29,-0.84
1/07/2002,-4.03,-1.73,-5.58,-8.49,1.06,-4.46,0.47,1.33,-1.35
1/08/2002,1.56,1.36,-1.07,0.18,1.03,-0.17,0.40,1.67,0.85
1/09/2002,-4.15,1.51,-9.89,-11.15,1.70,-3.12,0.43,1.61,0.08
1/10/2002,2.70,2.09,5.15,7.51,0.19,-2.06,0.42,0.00,-0.04
1/11/2002,1.13,1.85,4.23,5.46,0.11,3.83,0.39,0.38,1.09
1/12/2002,-1.62,1.46,-5.20,-6.47,2.25,0.49,0.43,1.96,1.07
1/01/2003,-1.66,0.37,-6.96,-3.66,0.41,-2.81,0.41,0.73,1.28
1/02/2003,-4.91,-2.73,-5.10,-1.53,0.97,1.02,0.37,1.26,0.68
1/03/2003,3.96,4.40,0.01,-0.58,-0.44,1.43,0.40,0.19,0.26
1/04/2003,4.31,1.06,5.18,8.42,0.55,3.72,0.39,0.82,1.96
1/05/2003,0.35,5.03,1.51,4.42,1.59,6.09,0.39,1.95,2.71
1/06/2003,1.19,-2.80,-1.21,2.17,0.02,1.22,0.40,-0.03,0.83
1/07/2003,3.18,0.29,5.62,2.88,-0.88,4.10,0.39,-1.85,0.08
1/08/2003,2.92,-1.80,2.28,2.47,-0.05,0.90,0.37,0.25,0.76
1/09/2003,-0.23,-2.75,-3.86,-1.55,0.70,2.13,0.42,2.00,1.52
1/10/2003,3.34,2.17,0.99,5.50,-1.10,2.23,0.41,-0.58,1.38
1/11/2003,-2.02,2.45,-0.42,0.75,-0.50,4.34,0.36,0.46,1.08
1/12/2003,3.78,3.22,2.01,4.53,1.79,3.10,0.48,1.27,1.95
1/01/2004,-0.83,0.30,0.63,1.78,-0.20,2.98,0.44,0.94,1.70
1/02/2004,3.15,2.85,0.23,1.78,1.26,3.25,0.43,1.36,1.40
1/03/2004,2.32,3.46,0.34,-0.94,0.96,4.65,0.51,0.87,0.28
1/04/2004,-0.30,-0.91,3.64,-0.33,-0.93,-9.80,0.45,-1.28,-0.58
1/05/2004,1.95,5.93,2.13,0.20,0.91,5.63,0.47,-0.86,-0.23
1/06/2004,2.68,1.13,4.59,2.16,0.39,2.69,0.45,1.49,0.34
1/07/2004,0.19,2.72,-3.85,-2.92,0.41,0.61,0.45,1.02,-0.31
1/08/2004,1.13,1.59,-0.42,0.19,1.43,5.54,0.48,1.90,0.14
1/09/2004,3.79,0.98,-0.77,1.26,0.74,0.79,0.45,0.73,1.01
1/10/2004,3.17,2.04,-0.73,1.22,0.69,4.01,0.43,1.01,1.28
1/11/2004,4.61,3.12,1.26,3.35,1.13,5.01,0.48,0.48,2.65
1/12/2004,3.24,5.08,2.75,3.38,-0.02,5.67,0.46,0.95,1.61
1/01/2005,1.40,0.65,-1.19,-1.04,0.07,-4.30,0.46,1.00,-0.34
1/02/2005,2.22,-2.51,0.66,2.53,-0.26,2.12,0.40,-0.17,1.43
1/03/2005,-0.88,-1.32,0.69,-0.95,0.16,-1.34,0.47,0.38,-0.15
1/04/2005,-3.03,0.21,-3.11,-2.22,1.56,3.79,0.48,1.47,-1.04
1/05/2005,3.30,-0.28,4.91,3.65,1.06,3.97,0.50,-1.47,0.15
1/06/2005,4.79,4.75,0.17,1.65,0.58,4.54,0.46,1.05,1.31
1/07/2005,2.60,2.24,3.82,3.81,0.43,5.35,0.45,-0.36,1.92
1/08/2005,2.01,1.66,1.95,0.08,0.85,-1.98,0.51,1.17,0.88
1/09/2005,5.08,0.02,0.81,3.26,-0.62,1.29,0.46,-0.31,1.63
